Czechia, Female exposure to risk by calendar year, age and parity (based on parity distribution from population census)
Last modified: 02/02/2023
Year   Age            E0x            E1x            E2x            E3x           E4px
1950    12       53109.91           0.00           0.00           0.00           0.00
1950    13       53036.97           2.51           0.35           0.00           0.00
1950    14       53304.91          24.71           1.35           0.00           0.00
1950    15       55586.67         164.17           7.49           0.14           0.00
1950    16       57674.05         623.18          49.13           3.61           0.07
1950    17       59176.12        1792.58         181.92          20.84           1.76
1950    18       59323.12        4216.62         560.90          63.76          10.30
1950    19       57805.90        8139.56        1505.55         170.18          30.64
1950    20       51904.00       12488.01        2999.94         392.14          75.01
1950    21       45459.92       16845.87        4984.11         766.68         149.34
1950    22       39023.94       20132.73        7262.09        1288.53         261.23
1950    23       34512.10       23111.45       10159.45        2057.20         467.93
1950    24       30058.21       25021.90       13234.47        3064.52         814.48
1950    25       26077.44       25486.01       16388.67        4272.06        1305.58
1950    26       23206.29       25509.50       19932.32        5833.26        1975.73
1950    27       20217.75       24043.74       22373.44        7326.91        2753.39
1950    28       18058.96       22649.26       24795.76        8908.77        3744.86
1950    29       14908.07       19334.66       24518.22        9543.02        4446.79
1950    30       12851.90       16754.61       23824.76        9965.44        5075.86
1950    31        7554.22        9582.03       14693.41        6551.40        3594.27
1950    32        6161.60        7515.52       12039.57        5631.67        3210.89
1950    33        6472.67        7677.31       12837.14        6056.01        3620.13
1950    34        7788.81        9244.49       15950.27        7569.19        4824.49
1950    35       10224.87       12417.28       21539.14       10533.45        7019.73
1950    36       11840.15       14642.13       25266.41       12546.48        8782.38
1950    37       12088.59       15055.01       25214.67       12638.39        9227.59
1950    38       12202.17       15286.28       24838.29       12538.29        9524.11
1950    39       12403.40       15897.19       24718.98       12478.14        9961.72
1950    40       12813.71       16855.15       24190.85       12212.16       10205.22
1950    41       13001.15       17296.56       23265.58       11821.94       10152.19
1950    42       12935.31       17333.77       22386.02       11284.62        9936.83
1950    43       13121.97       17694.41       21900.58       10847.40        9823.28
1950    44       13148.50       17531.06       20844.84       10217.71        9517.70
1950    45       13241.06       17254.50       19988.60        9733.59        9261.67
1950    46       13548.70       17313.61       19787.33        9696.89        9357.65
1950    47       13740.86       17105.74       19513.16        9666.55        9479.77
1950    48       13954.17       16569.30       19187.72        9675.17        9596.52
1950    49       13969.23       15779.87       18527.00        9564.18        9654.23
1950    50       13752.93       14962.05       17683.28        9377.81        9653.87
1950    51       13405.08       13996.19       16844.73        9187.84        9629.49
1950    52       13213.52       13105.53       15945.14        8961.19        9705.67
1950    53       13088.07       12457.82       15212.55        8774.47        9828.76
1950    54       12819.00       11741.85       14634.29        8568.11        9911.97
1950    55       12301.48       10987.37       13888.67        8173.13        9669.83
1961    12       84064.48           0.00           0.00           0.00           0.00
1961    13       90071.46           1.65           0.10           0.00           0.00
1961    14       90939.96          19.55           0.56           0.00           0.00
1961    15       81944.01         126.31           3.93           0.00           0.00
1961    16       76320.32         539.11          27.14           1.01           0.00
1961    17       74322.57        1896.13         122.64          10.80           0.85
1961    18       66722.77        4865.61         434.72          34.17           7.44
1961    19       55840.42        9461.24        1260.31         106.79          21.49
1961    20       45976.42       15030.30        2882.82         304.24          47.09
1961    21       36021.11       19218.98        5040.54         620.23          98.97
1961    22       27537.18       21003.14        7251.03        1058.12         187.02
1961    23       21167.19       21528.31        9572.94        1651.77         328.09
1961    24       16794.21       22041.98       12446.29        2388.21         547.60
1961    25       13545.32       21522.02       15296.06        3345.96         841.39
1961    26       11589.35       20833.39       18351.87        4622.18        1305.97
